Location,Period,Dim2,Indicator,Dim1,First Tooltip
Afghanistan,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,19965
Afghanistan,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,10702
Afghanistan,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,9263
Afghanistan,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,7056
Afghanistan,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,2437
Afghanistan,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,4620
Afghanistan,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,51244
Afghanistan,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,26828
Afghanistan,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,24416
Afghanistan,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,6715
Afghanistan,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,3560
Afghanistan,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,3154
Afghanistan,2015,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,19290
Afghanistan,2015,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,10319
Afghanistan,2015,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,8972
Afghanistan,2015,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,6523
Afghanistan,2015,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,2276
Afghanistan,2015,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,4247
Afghanistan,2015,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,49050
Afghanistan,2015,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,25728
Afghanistan,2015,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,23322
Afghanistan,2015,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,6440
Afghanistan,2015,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,3432
Afghanistan,2015,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,3008
Afghanistan,2010,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,16199
Afghanistan,2010,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,8540
Afghanistan,2010,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,7659
Afghanistan,2010,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,4852
Afghanistan,2010,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,1797
Afghanistan,2010,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,3056
Afghanistan,2010,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,43842
Afghanistan,2010,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,23248
Afghanistan,2010,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,20594
Afghanistan,2010,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,5706
Afghanistan,2010,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,3148
Afghanistan,2010,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,2558
Afghanistan,2005,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,14574
Afghanistan,2005,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,7675
Afghanistan,2005,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,6899
Afghanistan,2005,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,4109
Afghanistan,2005,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,1549
Afghanistan,2005,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,2560
Afghanistan,2005,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,41179
Afghanistan,2005,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,22242
Afghanistan,2005,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,18936
Afghanistan,2005,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,5496
Afghanistan,2005,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,3134
Afghanistan,2005,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,2362
Afghanistan,2000,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,11473
Afghanistan,2000,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,5981
Afghanistan,2000,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,5491
Afghanistan,2000,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,2975
Afghanistan,2000,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,1182
Afghanistan,2000,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,1794
Afghanistan,2000,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,33427
Afghanistan,2000,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,18021
Afghanistan,2000,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,15406
Afghanistan,2000,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,4391
Afghanistan,2000,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Male,2552
Afghanistan,2000,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Female,1839
Albania,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,5138
